ZMP X, ZMP Y
0.00805565, -0.0300931
0.00805565, -0.030093
0.00805565, -0.0300928
0.00805565, -0.0300927
0.00805565, -0.0300926
0.00805565, -0.0300924
0.00805565, -0.0300923
0.00805565, -0.0300921
0.00805565, -0.030092
0.00805565, -0.0300918
0.00805565, -0.0300917
0.00805538, -0.0300762
0.00805538, -0.0300753
0.00805538, -0.0300744
0.00805538, -0.0300734
0.00805538, -0.0300725
0.00805538, -0.0300716
0.00805538, -0.0300706
0.00805538, -0.0300697
0.00805538, -0.0300688
0.00805404, -0.0299773
0.00805404, -0.0299751
0.00805404, -0.0299728
0.00805404, -0.0299705
0.00805404, -0.0299683
0.00805403, -0.029966
0.00805403, -0.0299638
0.00805403, -0.0299615
0.00805403, -0.0299593
0.00805403, -0.029957
0.00805081, -0.0297371
0.00805081, -0.0297332
0.0080508, -0.0297294
0.0080508, -0.0297255
0.0080508, -0.0297217
0.00805079, -0.0297178
0.00805079, -0.029714
0.00805079, -0.0297101
0.00805078, -0.0297063
0.00805078, -0.0297025
0.0080454, -0.029332
0.00804539, -0.0293265
0.00804539, -0.0293211
0.00804538, -0.0293156
0.00804537, -0.0293102
0.00804537, -0.0293048
0.00804536, -0.0292993
0.00804535, -0.0292939
0.00804535, -0.0292885
0.00804534, -0.029283
0.00803816, -0.0287692
0.00803815, -0.0287624
0.00803814, -0.0287556
0.00803813, -0.0287488
0.00803812, -0.028742
0.00803811, -0.0287352
0.00803809, -0.0287285
0.00803808, -0.0287217
0.00803807, -0.0287149
0.00803806, -0.0287081
0.00802992, -0.0280826
0.00802991, -0.0280749
0.00802989, -0.0280672
0.00802987, -0.0280595
0.00802985, -0.0280518
0.00802983, -0.0280441
0.00802981, -0.0280364
0.00802979, -0.0280288
0.00802977, -0.0280211
0.00802975, -0.0280134
0.00802162, -0.0273236
0.00802159, -0.0273156
0.00802156, -0.0273075
0.00802153, -0.0272995
0.0080215, -0.0272914
0.00802147, -0.0272834
0.00802144, -0.0272753
0.00802141, -0.0272673
0.00802138, -0.0272593
0.00802135, -0.0272513
0.0080139, -0.0265498
0.00801386, -0.026542
0.00801381, -0.0265342
0.00801377, -0.0265263
0.00801373, -0.0265185
0.00801368, -0.0265107
0.00801364, -0.0265029
0.0080136, -0.0264951
0.00801355, -0.0264873
0.00801351, -0.0264796
0.00800687, -0.0258143
0.00800681, -0.0258072
0.00800675, -0.0258001
0.00800669, -0.025793
0.00800663, -0.0257859
0.00800657, -0.0257789
0.00800651, -0.0257718
0.00800645, -0.0257648
0.00800639, -0.0257577
0.00800633, -0.0257507
0.00800006, -0.0251578
0.00799998, -0.0251518
0.00799991, -0.0251458
0.00799983, -0.0251399
0.00799975, -0.0251339
0.00799967, -0.0251279
0.00799959, -0.025122
0.00799952, -0.0251161
0.00799944, -0.0251101
0.00799936, -0.0251042
0.00799269, -0.0246052
0.00799259, -0.0246005
0.0079925, -0.0245958
0.0079924, -0.0245911
0.00799231, -0.0245865
0.00799221, -0.0245818
0.00799212, -0.0245772
0.00799202, -0.0245726
0.00799193, -0.024568
0.00799183, -0.0245634
0.00798406, -0.0241656
0.00798395, -0.0241623
0.00798384, -0.0241589
0.00798374, -0.0241556
0.00798363, -0.0241522
0.00798352, -0.0241489
0.00798341, -0.0241456
0.0079833, -0.0241423
0.0079832, -0.024139
0.00798309, -0.0241357
0.007974, -0.0238362
0.00797388, -0.023834
0.00797377, -0.0238318
0.00797366, -0.0238297
0.00797355, -0.0238275
0.00797343, -0.0238254
0.00797332, -0.0238232
0.00797321, -0.0238211
0.0079731, -0.023819
0.00797298, -0.0238168
0.00796301, -0.0236054
0.0079629, -0.0236041
0.0079628, -0.0236029
0.00796269, -0.0236017
0.00796258, -0.0236004
0.00796248, -0.0235992
0.00796237, -0.023598
0.00796227, -0.0235968
0.00796216, -0.0235956
0.00796205, -0.0235944
0.00795219, -0.0234569
0.0079521, -0.0234563
0.00795201, -0.0234557
0.00795192, -0.0234551
0.00795183, -0.0234545
0.00795174, -0.0234539
0.00795165, -0.0234534
0.00795156, -0.0234528
0.00795147, -0.0234522
0.00795138, -0.0234516
0.00794281, -0.0233722
0.00794275, -0.023372
0.00794268, -0.0233718
0.00794261, -0.0233715
0.00794255, -0.0233713
0.00794248, -0.0233711
0.00794242, -0.0233709
0.00794235, -0.0233707
0.00794228, -0.0233705
0.00794222, -0.0233703
0.00793588, -0.0233322
0.00793584, -0.0233322
0.0079358, -0.0233321
0.00793576, -0.0233321
0.00793572, -0.023332
0.00793568, -0.023332
0.00793564, -0.0233319
0.0079356, -0.0233319
0.00793556, -0.0233318
0.00793552, -0.0233318
0.00793176, -0.0233189
0.00793174, -0.0233189
0.00793173, -0.0233189
0.00793171, -0.0233189
0.00793169, -0.0233189
0.00793168, -0.0233189
0.00793166, -0.0233189
0.00793164, -0.0233189
0.00793163, -0.0233189
0.00793161, -0.0233189
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256
-0.00995309, -0.0020256

